reference_name,start_range,end_range,count,total_count,proportion,z_score
CM008134.1,6746000,6768000,85,12485,0.006808169803764518,7.524819540036394
CM008134.1,8699000,8814000,77,12485,0.006167400881057269,6.774074750990054
CM008133.1,2875000,2897000,189,20064,0.009419856459330144,7.909864177114512
CM008133.1,16534000,16619000,126,20064,0.0062799043062200955,5.160599622251835
CM008133.1,1681000,1704000,130,20064,0.006479266347687401,5.335156101925656
CM008133.1,15023000,15045000,146,20064,0.007276714513556619,6.033382020620939
CM008134.1,7456000,7481000,60,12485,0.004805766920304365,5.178742074266582
CM008134.1,14238000,14263000,95,12485,0.007609130957148579,8.463250526344318
CM008133.1,13260000,13285000,206,20064,0.010267145135566189,8.651729215728249
CM008134.1,6160000,6185000,87,12485,0.00696836203444133,7.712505737297979
CM008133.1,9844000,9870000,139,20064,0.006927830940988836,5.7279081811917525
CM008134.1,8813000,8868000,61,12485,0.0048858630356427716,5.272585172897375
CM008134.1,5205000,5242000,68,12485,0.005446535843011614,5.929486863312922
CM008134.1,16194000,16301000,72,12485,0.005766920304365238,6.304859257836092
CM008133.1,18860000,18882000,141,20064,0.007027511961722488,5.815186421028663
CM008134.1,12565000,12587000,152,12485,0.012174609531437725,13.812307148299487
CM008134.1,3583000,3604000,65,12485,0.005206247496996396,5.647957567420545
CM008133.1,11362000,11386000,147,20064,0.007326555023923445,6.077021140539395
CM008133.1,5469000,5493000,176,20064,0.008771929824561403,7.342555618174594
CM008133.1,13169000,13194000,167,20064,0.008323365231259969,6.949803538908498
CM008134.1,7786000,7815000,86,12485,0.006888265919102923,7.618662638667186
CM008133.1,12238000,12262000,158,20064,0.007874800637958533,6.557051459642401
CM008134.1,8468000,8565000,80,12485,0.006407689227072487,7.055604046882432
CM008134.1,13432000,13464000,81,12485,0.006487785342410893,7.149447145513224
CM008133.1,1682000,1703000,176,20064,0.008771929824561403,7.342555618174594
CM008133.1,15199000,15247000,133,20064,0.006628787878787879,5.466073461681022
CM008133.1,3792000,3831000,123,20064,0.006130382775119617,5.02968226249647
CM008134.1,6413000,6499000,144,12485,0.011533840608730476,13.061562359253148
CM008134.1,6944000,6972000,74,12485,0.005927112535042051,6.492545455097677
CM008134.1,8802000,8879000,75,12485,0.006007208650380457,6.58638855372847
CM008133.1,12575000,12615000,146,20064,0.007276714513556619,6.033382020620939
CM008133.1,11135000,11160000,180,20064,0.008971291866028708,7.517112097848416
CM008134.1,6745000,6767000,68,12485,0.005446535843011614,5.929486863312922
CM008134.1,14237000,14262000,63,12485,0.005046055266319583,5.46027137015896
CM008133.1,15941000,15964000,140,20064,0.006977671451355662,5.771547301110208
CM008133.1,6654000,6676000,138,20064,0.00687799043062201,5.684269061273297
CM008134.1,5887000,5910000,64,12485,0.00512615138165799,5.554114468789752
CM008134.1,6944000,6973000,113,12485,0.009050861033239889,10.152426301698583
CM008133.1,16752000,16776000,166,20064,0.008273524720893141,6.906164418990043
CM008134.1,8458000,8565000,104,12485,0.008329995995194232,9.30783841402145
CM008134.1,8458000,8489000,59,12485,0.004725670804965959,5.08489897563579
CM008134.1,3582000,3604000,76,12485,0.006087304765718862,6.680231652359262
CM008134.1,6419000,6440000,72,12485,0.005766920304365238,6.304859257836092
CM008134.1,6745000,6766000,71,12485,0.005686824189026832,6.2110161592052995
CM008133.1,1680000,1703000,686,20064,0.034190590111642744,29.598506776586735
CM008134.1,9530000,9554000,60,12485,0.004805766920304365,5.178742074266582
