reference_name,start_range,end_range,count,total_count,proportion,z_score
NC_051169.1,111569000,111595000,18,17992,0.0010004446420631393,5.528837049810811
NC_051170.1,64154000,64175000,18,17073,0.0010542962572482868,5.347258530171527
NC_051165.1,163561000,163582000,19,30808,0.0006167229291093222,6.82866776811137
NC_051172.1,43740000,43763000,45,22927,0.0019627513412134165,7.094209662072704
NC_051165.1,73409000,73444000,22,30808,0.000714100233705531,8.096179025413866
NC_051172.1,43742000,43764000,64,22927,0.0027914685741701924,10.341809109216872
NC_051173.1,112619000,112644000,56,13218,0.004236646996519897,12.030010374708684
NC_051169.1,202987000,203045000,20,17992,0.0011116051578479323,6.256644284568425
NC_051165.1,299123000,299148000,16,30808,0.0005193456245131135,5.561156510808874
NC_051171.1,175418000,175441000,34,16953,0.002005544741343715,8.42097374474125
NC_051171.1,21433000,21455000,29,16953,0.0017106116911461099,7.057584203779862
NC_051170.1,164328000,164352000,18,17073,0.0010542962572482868,5.347258530171527
NC_051171.1,28153000,28179000,57,16953,0.0033622367722526986,14.692565633163635
NC_051166.1,34282000,34323000,64,31229,0.002049377181465945,5.681692681946776
NC_051165.1,142978000,143019000,17,30808,0.0005518047260451831,5.983660263243039
NC_051172.1,45022000,45044000,56,22927,0.0024425350023989183,8.974398815682486
NC_051172.1,45019000,45042000,36,22927,0.0015702010729707332,5.55587308184652
NC_051172.1,41556000,41579000,43,22927,0.001875517948270598,6.752357088689108
NC_051172.1,0,25000,59,22927,0.002573385091813146,9.48717767575788
NC_051167.1,229722000,229748000,35,26825,0.00130475302889096,8.519222187973869
NC_051172.1,41559000,41585000,47,22927,0.002049984734156235,7.436062235456301
NC_051165.1,264758000,264781000,17,30808,0.0005518047260451831,5.983660263243039
NC_051165.1,17258000,17280000,17,30808,0.0005518047260451831,5.983660263243039
NC_051166.1,68800000,68838000,62,31229,0.001985334144545134,5.491987040377454
NC_051172.1,43745000,43767000,55,22927,0.002398918305927509,8.803472528990687
NC_051165.1,155479000,155500000,17,30808,0.0005518047260451831,5.983660263243039
NC_051174.1,24524000,24577000,86,13596,0.006325389820535452,12.152511639141583
NC_051172.1,43741000,43762000,52,22927,0.002268068216513281,8.290693668915292
NC_051165.1,230555000,230587000,16,30808,0.0005193456245131135,5.561156510808874
NC_051165.1,168747000,168782000,21,30808,0.0006816411321734614,7.673675272979701
NC_051169.1,135115000,135138000,21,17992,0.001167185415740329,6.6205479019472335
NC_051166.1,137071000,137092000,67,31229,0.002145441736847161,5.966251144300759
NC_051168.1,28371000,28475000,42,22270,0.0018859452177817692,6.839735415842142
NC_051165.1,257910000,257931000,16,30808,0.0005193456245131135,5.561156510808874
NC_051165.1,241138000,241167000,20,30808,0.0006491820306413919,7.251171520545536
NC_051170.1,164454000,164570000,18,17073,0.0010542962572482868,5.347258530171527
NC_051166.1,68778000,68852000,82,31229,0.0026257645137532423,7.389043456070673
NC_051168.1,143316000,143355000,114,22270,0.005118994162550516,19.501775238132577
NC_051171.1,21427000,21453000,60,16953,0.003539196602371262,15.510599357740467
NC_051170.1,86810000,86843000,23,17073,0.0013471563287061443,7.119982744576514
NC_051174.1,24534000,24574000,62,13596,0.004560164754339511,8.628035644169032
NC_051172.1,43739000,43762000,54,22927,0.0023553016094561,8.63254624229889
NC_051165.1,143049000,143087000,19,30808,0.0006167229291093222,6.82866776811137
NC_051166.1,117364000,117392000,68,31229,0.002177463255307567,6.06110396508542
