reference_name,start_range,end_range,count,total_count,proportion,z_score
NW_003526940.1,2522000,2547000,220,6157,0.035731687510151044,8.563012000261123
NW_003526943.1,11028000,11051000,148,6260,0.023642172523961662,5.6731779578786234
NW_003526941.1,7079000,7102000,168,8216,0.02044790652385589,5.993888080028847
NW_003526943.1,2670000,2697000,135,6260,0.02156549520766773,5.122256740769777
NW_003526948.1,6035000,6057000,315,3409,0.09240246406570841,10.542571542700871
NW_003526948.1,7385000,7414000,171,3409,0.05016133763567029,5.517099764700391
NW_003526940.1,2735000,2829000,202,6157,0.032808185804775056,7.81743193889752
NW_003526941.1,3952000,3974000,158,8216,0.019230769230769232,5.608368570606644
NW_003526945.1,1049000,1117000,236,5341,0.04418648193222243,5.689564369223493
NW_003526941.1,3382000,3437000,245,8216,0.029819863680623174,8.962388302579802
NW_003526943.1,4560000,4582000,139,6260,0.02220447284345048,5.291770961418654
NW_003528295.1,352000,376000,21359,21530,0.9920575940548072,5.5704660729302375
NW_003526941.1,881000,903000,283,8216,0.034444985394352486,10.427362438384172
NW_003526941.1,6643000,6666000,171,8216,0.020813047711781888,6.109543932855507
NW_003526945.1,2143000,2164000,392,5341,0.07339449541284404,9.751892325640213
NW_003526941.1,4563000,4587000,183,8216,0.02227361246348588,6.57216734416215
NW_003526940.1,1330000,1439000,141,6157,0.022900763358778626,5.290743953165308
