chromosome,source,feature,start,end,score,strand,frame,Name,gbkey,gene_biotype,Parent,transcript_id,protein_id,pseudo,partial,ID,locus_tag,inference,Dbxref,end_range,product,start_range,Note
NW_003526945.1,RefSeq,exon,1049056,1049207,.,+,.,,mRNA,,rna-XM_003373316.1,"XM_003373316.1
",,,,exon-XM_003373316.1-14,Tsp_07962,,"GenBank:XM_003373316.1,GeneID:10906519",,conserved hypothetical protein,,
NW_003526945.1,RefSeq,CDS,1049056,1049207,.,+,2,XP_003373364.1,CDS,,rna-XM_003373316.1,,"XP_003373364.1
",,,cds-XP_003373364.1,Tsp_07962,,"GenBank:XP_003373364.1,GeneID:10906519",,hypothetical protein,,
NW_003526945.1,RefSeq,gene,1059697,1061680,.,-,.,Tsp_07963,Gene,protein_coding,,,,,,gene-Tsp_07963,"Tsp_07963
",,GeneID:10906520,,,,
NW_003526945.1,RefSeq,mRNA,1059697,1061680,.,-,.,XM_003373317.1,mRNA,,gene-Tsp_07963,"XM_003373317.1
",,,,rna-XM_003373317.1,Tsp_07963,,"GenBank:XM_003373317.1,GeneID:10906520",,conserved hypothetical protein,,
NW_003526945.1,RefSeq,exon,1061653,1061680,.,-,.,,mRNA,,rna-XM_003373317.1,"XM_003373317.1
",,,,exon-XM_003373317.1-1,Tsp_07963,,"GenBank:XM_003373317.1,GeneID:10906520",,conserved hypothetical protein,,
NW_003526945.1,RefSeq,exon,1060348,1060418,.,-,.,,mRNA,,rna-XM_003373317.1,"XM_003373317.1
",,,,exon-XM_003373317.1-2,Tsp_07963,,"GenBank:XM_003373317.1,GeneID:10906520",,conserved hypothetical protein,,
NW_003526945.1,RefSeq,exon,1059697,1059897,.,-,.,,mRNA,,rna-XM_003373317.1,"XM_003373317.1
",,,,exon-XM_003373317.1-3,Tsp_07963,,"GenBank:XM_003373317.1,GeneID:10906520",,conserved hypothetical protein,,
NW_003526945.1,RefSeq,CDS,1061653,1061680,.,-,0,XP_003373365.1,CDS,,rna-XM_003373317.1,,"XP_003373365.1
",,,cds-XP_003373365.1,Tsp_07963,,"GenBank:XP_003373365.1,GeneID:10906520",,hypothetical protein,,
NW_003526945.1,RefSeq,CDS,1060348,1060418,.,-,2,XP_003373365.1,CDS,,rna-XM_003373317.1,,"XP_003373365.1
",,,cds-XP_003373365.1,Tsp_07963,,"GenBank:XP_003373365.1,GeneID:10906520",,hypothetical protein,,
NW_003526945.1,RefSeq,CDS,1059697,1059897,.,-,0,XP_003373365.1,CDS,,rna-XM_003373317.1,,"XP_003373365.1
",,,cds-XP_003373365.1,Tsp_07963,,"GenBank:XP_003373365.1,GeneID:10906520",,hypothetical protein,,
NW_003526945.1,RefSeq,gene,1062338,1063990,.,+,.,Tsp_07964,Gene,protein_coding,,,,,,gene-Tsp_07964,"Tsp_07964
",,GeneID:10906521,,,,
NW_003526945.1,RefSeq,mRNA,1062338,1063990,.,+,.,XM_003373318.1,mRNA,,gene-Tsp_07964,"XM_003373318.1
",,,,rna-XM_003373318.1,Tsp_07964,,"GenBank:XM_003373318.1,GeneID:10906521",,peptidylglycine alpha-hydroxylating monooxygenase,,
NW_003526945.1,RefSeq,exon,1062338,1062477,.,+,.,,mRNA,,rna-XM_003373318.1,"XM_003373318.1
",,,,exon-XM_003373318.1-1,Tsp_07964,,"GenBank:XM_003373318.1,GeneID:10906521",,peptidylglycine alpha-hydroxylating monooxygenase,,
NW_003526945.1,RefSeq,exon,1062514,1062641,.,+,.,,mRNA,,rna-XM_003373318.1,"XM_003373318.1
",,,,exon-XM_003373318.1-2,Tsp_07964,,"GenBank:XM_003373318.1,GeneID:10906521",,peptidylglycine alpha-hydroxylating monooxygenase,,
NW_003526945.1,RefSeq,exon,1062700,1062777,.,+,.,,mRNA,,rna-XM_003373318.1,"XM_003373318.1
",,,,exon-XM_003373318.1-3,Tsp_07964,,"GenBank:XM_003373318.1,GeneID:10906521",,peptidylglycine alpha-hydroxylating monooxygenase,,
