Description,Scientific Name,Max Score,Total Score,Query Cover,E value,Per. ident,Acc. Len,Accession  
Cys1 [Hyposoter didymator ichnovirus],Hyposoter didymator ichnovirus,227,382,4%,1e-63,89.92,162,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/AIK25684.1?report=genbank&log$=prottop&blast_rank=1&RID=3278TXF8013"",""AIK25684.1"")"
Cys2 [Hyposoter didymator ichnovirus],Hyposoter didymator ichnovirus,184,333,4%,5e-60,81.74,157,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/AIK25685.1?report=genbank&log$=prottop&blast_rank=2&RID=3278TXF8013"",""AIK25685.1"")"
cysteine motif protein 3 [Diadegma semiclausum ichnovirus],Diadegma semiclausum ichnovirus,172,541,9%,1e-40,72.73,510,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/AHY21982.1?report=genbank&log$=prottop&blast_rank=3&RID=3278TXF8013"",""AHY21982.1"")"
tafazzin [Venturia canescens],Venturia canescens,157,251,2%,3e-37,92.68,304,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_043287455.1?report=genbank&log$=prottop&blast_rank=4&RID=3278TXF8013"",""XP_043287455.1"")"
cysteine motif protein 1 [Diadegma fenestrale ichnovirus],Diadegma fenestrale ichnovirus,127,242,5%,2e-31,57.41,154,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/ULM71622.1?report=genbank&log$=prottop&blast_rank=5&RID=3278TXF8013"",""ULM71622.1"")"
hypothetical protein G9C98_002310 [Cotesia typhae],Cotesia typhae,100,100,1%,9e-19,54.02,187,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/KAG8041322.1?report=genbank&log$=prottop&blast_rank=6&RID=3278TXF8013"",""KAG8041322.1"")"
hypothetical protein PV327_001947 [Microctonus hyperodae],Microctonus hyperodae,100,178,2%,1e-17,56.98,310,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/KAK0168114.1?report=genbank&log$=prottop&blast_rank=7&RID=3278TXF8013"",""KAK0168114.1"")"
hypothetical protein KQX54_002944 [Cotesia glomerata],Cotesia glomerata,97.4,177,2%,2e-17,54.76,223,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/KAH0560254.1?report=genbank&log$=prottop&blast_rank=8&RID=3278TXF8013"",""KAH0560254.1"")"
tafazzin [Microplitis demolitor],Microplitis demolitor,99.4,184,2%,3e-17,55.29,306,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_008559365.1?report=genbank&log$=prottop&blast_rank=9&RID=3278TXF8013"",""XP_008559365.1"")"
tafazzin [Microplitis mediator],Microplitis mediator,99.0,182,2%,3e-17,55.95,306,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_057322941.1?report=genbank&log$=prottop&blast_rank=10&RID=3278TXF8013"",""XP_057322941.1"")"
GSCOCG00008508001-RA-CDS [Cotesia congregata],Cotesia congregata,98.2,177,2%,5e-17,54.76,306,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/CAD6238663.1?report=genbank&log$=prottop&blast_rank=11&RID=3278TXF8013"",""CAD6238663.1"")"
tafazzin [Cotesia glomerata],Cotesia glomerata,98.2,177,2%,6e-17,54.76,306,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_044586293.1?report=genbank&log$=prottop&blast_rank=12&RID=3278TXF8013"",""XP_044586293.1"")"
tafazzin isoform X3 [Cataglyphis hispanica],Cataglyphis hispanica,95.1,95.1,1%,2e-16,79.63,254,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_050450616.1?report=genbank&log$=prottop&blast_rank=13&RID=3278TXF8013"",""XP_050450616.1"")"
hypothetical protein KPH14_001361 [Odynerus spinipes],Odynerus spinipes,86.7,149,2%,2e-15,59.15,82,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/KAK2578165.1?report=genbank&log$=prottop&blast_rank=14&RID=3278TXF8013"",""KAK2578165.1"")"
tafazzin [Leptopilina heterotoma],Leptopilina heterotoma,94.0,179,2%,2e-15,86.96,310,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_043481212.1?report=genbank&log$=prottop&blast_rank=15&RID=3278TXF8013"",""XP_043481212.1"")"
tafazzin [Leptopilina boulardi],Leptopilina boulardi,92.8,179,2%,4e-15,88.64,310,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_051175636.1?report=genbank&log$=prottop&blast_rank=16&RID=3278TXF8013"",""XP_051175636.1"")"
tafazzin [Apis mellifera carnica],Apis mellifera carnica,90.9,154,3%,4e-15,61.11,230,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/KAG9437522.1?report=genbank&log$=prottop&blast_rank=17&RID=3278TXF8013"",""KAG9437522.1"")"
tafazzin homolog [Apis florea],Apis florea,91.7,155,2%,4e-15,61.11,260,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_031772319.1?report=genbank&log$=prottop&blast_rank=18&RID=3278TXF8013"",""XP_031772319.1"")"
tafazzin homolog [Apis mellifera],Apis mellifera,91.7,155,2%,4e-15,61.11,260,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_006569667.1?report=genbank&log$=prottop&blast_rank=19&RID=3278TXF8013"",""XP_006569667.1"")"
tafazzin homolog isoform X2 [Apis dorsata],Apis dorsata,91.7,155,2%,4e-15,61.11,260,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_006624568.1?report=genbank&log$=prottop&blast_rank=20&RID=3278TXF8013"",""XP_006624568.1"")"
PREDICTED: tafazzin homolog [Cyphomyrmex costatus],Cyphomyrmex costatus,90.9,158,2%,7e-15,62.50,260,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_018400816.1?report=genbank&log$=prottop&blast_rank=21&RID=3278TXF8013"",""XP_018400816.1"")"
Tafazzin like protein [Trachymyrmex zeteki],Trachymyrmex zeteki,90.5,156,2%,7e-15,62.50,249,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/KYQ59943.1?report=genbank&log$=prottop&blast_rank=22&RID=3278TXF8013"",""KYQ59943.1"")"
Tafazzin like protein [Atta colombica],Atta colombica,90.5,156,2%,7e-15,62.50,248,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/KYM78109.1?report=genbank&log$=prottop&blast_rank=23&RID=3278TXF8013"",""KYM78109.1"")"
tafazzin homolog isoform X2 [Nylanderia fulva],Nylanderia fulva,90.9,156,2%,7e-15,63.38,260,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_029163790.1?report=genbank&log$=prottop&blast_rank=24&RID=3278TXF8013"",""XP_029163790.1"")"
tafazzin isoform X2 [Cataglyphis hispanica],Cataglyphis hispanica,90.9,157,2%,7e-15,62.50,260,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_050450608.1?report=genbank&log$=prottop&blast_rank=25&RID=3278TXF8013"",""XP_050450608.1"")"
PREDICTED: tafazzin homolog [Trachymyrmex zeteki],Trachymyrmex zeteki,90.9,157,2%,7e-15,62.50,260,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_018309270.1?report=genbank&log$=prottop&blast_rank=26&RID=3278TXF8013"",""XP_018309270.1"")"
PREDICTED: tafazzin homolog isoform X1 [Vollenhovia emeryi],Vollenhovia emeryi,90.9,155,2%,7e-15,62.50,260,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_011872168.1?report=genbank&log$=prottop&blast_rank=27&RID=3278TXF8013"",""XP_011872168.1"")"
Tafazzin-like protein [Ooceraea biroi],Ooceraea biroi,91.7,156,2%,8e-15,53.93,297,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/EZA59612.1?report=genbank&log$=prottop&blast_rank=28&RID=3278TXF8013"",""EZA59612.1"")"
Tafazzin like protein [Trachymyrmex septentrionalis],Trachymyrmex septentrionalis,90.5,156,2%,8e-15,62.50,248,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/KYN39864.1?report=genbank&log$=prottop&blast_rank=29&RID=3278TXF8013"",""KYN39864.1"")"
Tafazzin [Apis cerana cerana],Apis cerana cerana,92.0,155,2%,8e-15,61.11,314,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/PBC33562.1?report=genbank&log$=prottop&blast_rank=30&RID=3278TXF8013"",""PBC33562.1"")"
Tafazzin like protein [Trachymyrmex cornetzi],Trachymyrmex cornetzi,90.5,156,2%,8e-15,62.50,248,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/KYN12944.1?report=genbank&log$=prottop&blast_rank=31&RID=3278TXF8013"",""KYN12944.1"")"
TAZ protein [Acromyrmex insinuator],Acromyrmex insinuator,90.5,156,2%,8e-15,62.50,248,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/KAG5313250.1?report=genbank&log$=prottop&blast_rank=32&RID=3278TXF8013"",""KAG5313250.1"")"
tafazzin homolog [Ooceraea biroi],Ooceraea biroi,92.0,157,2%,8e-15,53.93,309,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_011330124.1?report=genbank&log$=prottop&blast_rank=33&RID=3278TXF8013"",""XP_011330124.1"")"
tafazzin homolog isoform X2 [Solenopsis invicta],Solenopsis invicta,90.5,156,2%,8e-15,62.50,260,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_011163949.1?report=genbank&log$=prottop&blast_rank=34&RID=3278TXF8013"",""XP_011163949.1"")"
tafazzin homolog [Formica exsecta],Formica exsecta,90.5,156,2%,8e-15,62.50,260,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_029673129.1?report=genbank&log$=prottop&blast_rank=35&RID=3278TXF8013"",""XP_029673129.1"")"
TAZ protein [Acromyrmex charruanus],Acromyrmex charruanus,90.5,156,2%,8e-15,62.50,248,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/KAG5329284.1?report=genbank&log$=prottop&blast_rank=36&RID=3278TXF8013"",""KAG5329284.1"")"
PREDICTED: tafazzin homolog [Trachymyrmex cornetzi],Trachymyrmex cornetzi,90.5,156,2%,8e-15,62.50,260,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_018372211.1?report=genbank&log$=prottop&blast_rank=37&RID=3278TXF8013"",""XP_018372211.1"")"
PREDICTED: tafazzin homolog [Atta colombica],Atta colombica,90.5,156,2%,9e-15,62.50,260,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_018054460.1?report=genbank&log$=prottop&blast_rank=38&RID=3278TXF8013"",""XP_018054460.1"")"
PREDICTED: tafazzin homolog [Trachymyrmex septentrionalis],Trachymyrmex septentrionalis,90.5,156,2%,9e-15,62.50,260,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_018341436.1?report=genbank&log$=prottop&blast_rank=39&RID=3278TXF8013"",""XP_018341436.1"")"
PREDICTED: tafazzin homolog isoform X2 [Acromyrmex echinatior],Acromyrmex echinatior,90.5,156,2%,9e-15,62.50,260,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_011066835.1?report=genbank&log$=prottop&blast_rank=40&RID=3278TXF8013"",""XP_011066835.1"")"
tafazzin isoform X1 [Cataglyphis hispanica],Cataglyphis hispanica,90.5,156,2%,9e-15,62.50,266,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_050450599.1?report=genbank&log$=prottop&blast_rank=41&RID=3278TXF8013"",""XP_050450599.1"")"
hypothetical protein PV328_006422 [Microctonus aethiopoides],Microctonus aethiopoides,91.3,171,2%,1e-14,54.88,304,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/KAK0173185.1?report=genbank&log$=prottop&blast_rank=42&RID=3278TXF8013"",""KAK0173185.1"")"
tafazzin homolog isoform X1 [Nylanderia fulva],Nylanderia fulva,90.1,159,1%,1e-14,85.11,267,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_029163789.1?report=genbank&log$=prottop&blast_rank=43&RID=3278TXF8013"",""XP_029163789.1"")"
tafazzin homolog isoform X1 [Odontomachus brunneus],Odontomachus brunneus,90.1,157,2%,1e-14,59.72,260,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_032671344.1?report=genbank&log$=prottop&blast_rank=44&RID=3278TXF8013"",""XP_032671344.1"")"
tafazzin homolog [Pogonomyrmex barbatus],Pogonomyrmex barbatus,90.9,157,2%,1e-14,62.50,300,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_011646168.1?report=genbank&log$=prottop&blast_rank=45&RID=3278TXF8013"",""XP_011646168.1"")"
tafazzin homolog isoform X2 [Odontomachus brunneus],Odontomachus brunneus,89.7,156,2%,2e-14,59.72,257,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_032671345.1?report=genbank&log$=prottop&blast_rank=46&RID=3278TXF8013"",""XP_032671345.1"")"
tafazzin homolog isoform X2 [Belonocnema kinseyi],Belonocnema kinseyi,91.3,155,2%,2e-14,51.69,316,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_033223097.1?report=genbank&log$=prottop&blast_rank=47&RID=3278TXF8013"",""XP_033223097.1"")"
