Description,Scientific Name,Max Score,Total Score,Query Cover,E value,Per. ident,Acc. Len,Accession  
Vinx1 [Hyposoter didymator ichnovirus],Hyposoter didymator ichnovirus,723,723,8%,0.0,99.73,376,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/AIK25643.1?report=genbank&log$=prottop&blast_rank=1&RID=3277CM8C013"",""AIK25643.1"")"
innexin Vnx-b7 [Ichnoviriform fugitivi],Ichnoviriform fugitivi,538,538,8%,7e-169,75.00,376,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/YP_001031226.1?report=genbank&log$=prottop&blast_rank=2&RID=3277CM8C013"",""YP_001031226.1"")"
viral innexin 3 [Diadegma fenestrale ichnovirus],Diadegma fenestrale ichnovirus,532,532,8%,1e-166,73.80,379,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/ULM71619.1?report=genbank&log$=prottop&blast_rank=3&RID=3277CM8C013"",""ULM71619.1"")"
viral innexin 3 [Diadegma fenestrale ichnovirus],Diadegma fenestrale ichnovirus,524,524,8%,6e-164,73.53,379,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/ULM71617.1?report=genbank&log$=prottop&blast_rank=4&RID=3277CM8C013"",""ULM71617.1"")"
U2 [Hyposoter didymator ichnovirus],Hyposoter didymator ichnovirus,519,519,6%,2e-163,98.61,288,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/AIK25642.1?report=genbank&log$=prottop&blast_rank=5&RID=3277CM8C013"",""AIK25642.1"")"
viral innexin 1 [Diadegma semiclausum ichnovirus],Diadegma semiclausum ichnovirus,518,808,13%,7e-159,73.96,574,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/AHY21952.1?report=genbank&log$=prottop&blast_rank=6&RID=3277CM8C013"",""AHY21952.1"")"
d4.1 [Tranosema rostrale ichnovirus],Tranosema rostrale ichnovirus,447,447,8%,3e-137,60.64,376,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/BAF45609.1?report=genbank&log$=prottop&blast_rank=7&RID=3277CM8C013"",""BAF45609.1"")"
unnamed protein product [Chilo suppressalis],Chilo suppressalis,443,573,11%,3e-128,67.71,944,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/CAH0403842.1?report=genbank&log$=prottop&blast_rank=8&RID=3277CM8C013"",""CAH0403842.1"")"
e1.1 [Tranosema rostrale ichnovirus],Tranosema rostrale ichnovirus,398,398,8%,2e-120,56.51,359,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/BAF45621.1?report=genbank&log$=prottop&blast_rank=9&RID=3277CM8C013"",""BAF45621.1"")"
innexin Vnx-g1 [Ichnoviriform sonorense],Ichnoviriform sonorense,380,380,8%,4e-114,57.26,359,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/AAO45829.1?report=genbank&log$=prottop&blast_rank=10&RID=3277CM8C013"",""AAO45829.1"")"
Vinx1 [Hyposoter didymator ichnovirus],Hyposoter didymator ichnovirus,367,367,8%,3e-109,53.57,366,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/AIK25637.1?report=genbank&log$=prottop&blast_rank=11&RID=3277CM8C013"",""AIK25637.1"")"
innexin inx2-like [Bacillus rossius redtenbacheri],Bacillus rossius redtenbacheri,367,367,7%,3e-109,57.01,371,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_063224711.1?report=genbank&log$=prottop&blast_rank=12&RID=3277CM8C013"",""XP_063224711.1"")"
innexin-like protein 2 [Ichnoviriform sonorense],Ichnoviriform sonorense,365,365,8%,6e-109,54.44,365,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/YP_589075.1?report=genbank&log$=prottop&blast_rank=13&RID=3277CM8C013"",""YP_589075.1"")"
innexin Vnx-d5.1 [Ichnoviriform fugitivi],Ichnoviriform fugitivi,364,364,8%,3e-108,52.45,375,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/YP_001031228.1?report=genbank&log$=prottop&blast_rank=14&RID=3277CM8C013"",""YP_001031228.1"")"
viral innexin 4 [Diadegma semiclausum ichnovirus],Diadegma semiclausum ichnovirus,362,362,8%,1e-107,53.91,377,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/AHY21972.1?report=genbank&log$=prottop&blast_rank=15&RID=3277CM8C013"",""AHY21972.1"")"
innexin Vnx-c16 [Ichnoviriform fugitivi],Ichnoviriform fugitivi,358,358,8%,2e-106,53.78,371,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/YP_001031223.1?report=genbank&log$=prottop&blast_rank=16&RID=3277CM8C013"",""YP_001031223.1"")"
viral innexin 5 [Diadegma fenestrale ichnovirus],Diadegma fenestrale ichnovirus,355,355,8%,4e-105,52.53,378,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/ULM71648.1?report=genbank&log$=prottop&blast_rank=17&RID=3277CM8C013"",""ULM71648.1"")"
c6.1 [Tranosema rostrale ichnovirus],Tranosema rostrale ichnovirus,332,332,8%,6e-97,50.40,376,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/BAF45597.1?report=genbank&log$=prottop&blast_rank=18&RID=3277CM8C013"",""BAF45597.1"")"
innexin Vnx-d5.2 [Ichnoviriform fugitivi],Ichnoviriform fugitivi,318,318,8%,3e-92,46.36,378,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/YP_001031229.1?report=genbank&log$=prottop&blast_rank=19&RID=3277CM8C013"",""YP_001031229.1"")"
viral innexin 3 [Diadegma semiclausum ichnovirus],Diadegma semiclausum ichnovirus,317,317,8%,5e-92,46.80,357,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/AHY21960.1?report=genbank&log$=prottop&blast_rank=20&RID=3277CM8C013"",""AHY21960.1"")"
innexin Vnx-b17 [Ichnoviriform fugitivi],Ichnoviriform fugitivi,316,316,8%,9e-92,48.30,357,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/YP_001031233.1?report=genbank&log$=prottop&blast_rank=21&RID=3277CM8C013"",""YP_001031233.1"")"
viral innexin 2 [Diadegma fenestrale ichnovirus],Diadegma fenestrale ichnovirus,317,317,8%,2e-91,47.16,397,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/ULM71616.1?report=genbank&log$=prottop&blast_rank=22&RID=3277CM8C013"",""ULM71616.1"")"
innexin inx2 [Harmonia axyridis],Harmonia axyridis,314,314,8%,5e-91,44.41,359,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_045468071.1?report=genbank&log$=prottop&blast_rank=23&RID=3277CM8C013"",""XP_045468071.1"")"
viral innexin 6 [Diadegma semiclausum ichnovirus],Diadegma semiclausum ichnovirus,320,320,8%,1e-90,46.56,540,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/AHY22012.1?report=genbank&log$=prottop&blast_rank=24&RID=3277CM8C013"",""AHY22012.1"")"
