Description,Scientific Name,Max Score,Total Score,Query Cover,E value,Per. ident,Acc. Len,Accession  
vacuolar protein sorting-associated protein 18 homolog isoform X2 [Venturia canescens],Venturia canescens,260,826,10%,1e-98,62.16,983,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_043280093.1?report=genbank&log$=prottop&blast_rank=1&RID=3277VP1B013"",""XP_043280093.1"")"
vacuolar protein sorting-associated protein 18 homolog isoform X1 [Venturia canescens],Venturia canescens,260,813,9%,9e-97,62.16,999,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_043280090.1?report=genbank&log$=prottop&blast_rank=2&RID=3277VP1B013"",""XP_043280090.1"")"
vacuolar protein sorting-associated protein 18 homolog isoform X2 [Nasonia vitripennis],Nasonia vitripennis,236,640,9%,6e-85,56.25,999,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_003427843.1?report=genbank&log$=prottop&blast_rank=3&RID=3277VP1B013"",""XP_003427843.1"")"
hypothetical protein TSAR_013576 [Trichomalopsis sarcophagae],Trichomalopsis sarcophagae,236,636,9%,9e-85,56.70,1015,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/OXU27272.1?report=genbank&log$=prottop&blast_rank=4&RID=3277VP1B013"",""OXU27272.1"")"
vacuolar protein sorting-associated protein 18 homolog isoform X2 [Cephus cinctus],Cephus cinctus,232,662,9%,2e-84,56.50,984,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_015595540.1?report=genbank&log$=prottop&blast_rank=5&RID=3277VP1B013"",""XP_015595540.1"")"
vacuolar protein sorting-associated protein 18 homolog isoform X1 [Nasonia vitripennis],Nasonia vitripennis,236,634,9%,3e-84,56.25,1015,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_016845713.1?report=genbank&log$=prottop&blast_rank=6&RID=3277VP1B013"",""XP_016845713.1"")"
vacuolar protein sorting-associated protein 18 homolog isoform X1 [Cephus cinctus],Cephus cinctus,232,654,9%,1e-83,56.50,1000,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_015595539.1?report=genbank&log$=prottop&blast_rank=7&RID=3277VP1B013"",""XP_015595539.1"")"
vacuolar protein sorting-associated protein 18 homolog isoform X2 [Leptopilina boulardi],Leptopilina boulardi,223,627,10%,4e-82,53.57,987,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_051161055.1?report=genbank&log$=prottop&blast_rank=8&RID=3277VP1B013"",""XP_051161055.1"")"
hypothetical protein G9C98_000196 [Cotesia typhae],Cotesia typhae,224,463,7%,7e-82,52.91,808,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/KAG8042205.1?report=genbank&log$=prottop&blast_rank=9&RID=3277VP1B013"",""KAG8042205.1"")"
hypothetical protein PV328_006984 [Microctonus aethiopoides],Microctonus aethiopoides,219,648,9%,8e-82,51.12,984,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/KAK0173841.1?report=genbank&log$=prottop&blast_rank=10&RID=3277VP1B013"",""KAK0173841.1"")"
