Description,Scientific Name,Max Score,Total Score,Query Cover,E value,Per. ident,Acc. Len,Accession  
Rep1 [Hyposoter didymator ichnovirus],Hyposoter didymator ichnovirus,476,476,6%,2e-149,97.01,234,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/AIK25623.1?report=genbank&log$=prottop&blast_rank=1&RID=32794RAH013"",""AIK25623.1"")"
distal membrane-arm assembly complex protein 2 [Venturia canescens],Venturia canescens,369,369,7%,3e-111,59.30,287,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_043282145.1?report=genbank&log$=prottop&blast_rank=2&RID=32794RAH013"",""XP_043282145.1"")"
repeat element protein-b12.1 [Ichnoviriform fugitivi],Ichnoviriform fugitivi,306,306,6%,3e-90,67.40,230,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/YP_001031258.1?report=genbank&log$=prottop&blast_rank=3&RID=32794RAH013"",""YP_001031258.1"")"
repeat element 3 protein [Diadegma fenestrale ichnovirus],Diadegma fenestrale ichnovirus,303,303,5%,4e-89,67.89,235,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/ULM71588.1?report=genbank&log$=prottop&blast_rank=4&RID=32794RAH013"",""ULM71588.1"")"
repeat element 3 protein [Diadegma fenestrale ichnovirus],Diadegma fenestrale ichnovirus,303,303,5%,4e-89,67.89,235,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/ULM71594.1?report=genbank&log$=prottop&blast_rank=5&RID=32794RAH013"",""ULM71594.1"")"
repeat element 17 [Diadegma semiclausum ichnovirus],Diadegma semiclausum ichnovirus,295,295,6%,3e-86,63.04,237,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/AHY21996.1?report=genbank&log$=prottop&blast_rank=6&RID=32794RAH013"",""AHY21996.1"")"
hypothetical protein QAD02_016001 [Eretmocerus hayati],Eretmocerus hayati,255,439,13%,2e-69,50.36,470,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/KAJ8680214.1?report=genbank&log$=prottop&blast_rank=7&RID=32794RAH013"",""KAJ8680214.1"")"
tRNA (cytosine(72)-C(5))-methyltransferase NSUN6 isoform X2 [Diachasmimorpha longicaudata],Diachasmimorpha longicaudata,246,417,12%,9e-67,48.62,428,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_063974274.1?report=genbank&log$=prottop&blast_rank=8&RID=32794RAH013"",""XP_063974274.1"")"
tRNA (cytosine(72)-C(5))-methyltransferase NSUN6 [Chelonus insularis],Chelonus insularis,247,433,13%,1e-66,46.83,460,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_034941812.1?report=genbank&log$=prottop&blast_rank=9&RID=32794RAH013"",""XP_034941812.1"")"
tRNA (cytosine(72)-C(5))-methyltransferase NSUN6 isoform X1 [Diachasmimorpha longicaudata],Diachasmimorpha longicaudata,246,434,13%,2e-66,48.62,469,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_063974273.1?report=genbank&log$=prottop&blast_rank=10&RID=32794RAH013"",""XP_063974273.1"")"
putative methyltransferase NSUN6 [Diachasma alloeum],Diachasma alloeum,246,425,13%,2e-66,47.59,468,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_015110210.1?report=genbank&log$=prottop&blast_rank=11&RID=32794RAH013"",""XP_015110210.1"")"
hypothetical protein KM043_016781 [Ampulex compressa],Ampulex compressa,241,348,10%,2e-65,47.16,393,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/KAG7187729.1?report=genbank&log$=prottop&blast_rank=12&RID=32794RAH013"",""KAG7187729.1"")"
hypothetical protein KM043_016781 [Ampulex compressa],Ampulex compressa,240,347,10%,1e-64,47.16,435,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/KAG7187727.1?report=genbank&log$=prottop&blast_rank=13&RID=32794RAH013"",""KAG7187727.1"")"
hypothetical protein TSAR_002126 [Trichomalopsis sarcophagae],Trichomalopsis sarcophagae,238,442,12%,3e-63,45.68,487,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/OXU22955.1?report=genbank&log$=prottop&blast_rank=14&RID=32794RAH013"",""OXU22955.1"")"
tRNA (cytosine(72)-C(5))-methyltransferase NSUN6 [Nasonia vitripennis],Nasonia vitripennis,238,440,12%,4e-63,45.68,496,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_008208375.1?report=genbank&log$=prottop&blast_rank=15&RID=32794RAH013"",""XP_008208375.1"")"
putative methyltransferase NSUN6 isoform X6 [Cephus cinctus],Cephus cinctus,232,296,9%,1e-62,46.52,369,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_024941099.1?report=genbank&log$=prottop&blast_rank=16&RID=32794RAH013"",""XP_024941099.1"")"
tRNA (cytosine(72)-C(5))-methyltransferase NSUN6 [Microplitis mediator],Microplitis mediator,233,431,13%,4e-62,47.90,443,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_057321275.1?report=genbank&log$=prottop&blast_rank=17&RID=32794RAH013"",""XP_057321275.1"")"
putative methyltransferase NSUN6 isoform X5 [Cephus cinctus],Cephus cinctus,232,357,11%,1e-61,45.77,454,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_015595720.1?report=genbank&log$=prottop&blast_rank=18&RID=32794RAH013"",""XP_015595720.1"")"
putative methyltransferase NSUN6 isoform X3 [Cephus cinctus],Cephus cinctus,233,357,11%,1e-61,45.77,462,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_024941097.1?report=genbank&log$=prottop&blast_rank=19&RID=32794RAH013"",""XP_024941097.1"")"
tRNA (cytosine(72)-C(5))-methyltransferase NSUN6 [Aphidius gifuensis],Aphidius gifuensis,232,429,13%,2e-61,44.88,455,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_044015245.1?report=genbank&log$=prottop&blast_rank=20&RID=32794RAH013"",""XP_044015245.1"")"
putative methyltransferase NSUN6 isoform X2 [Cephus cinctus],Cephus cinctus,232,385,12%,2e-61,45.77,470,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_015595719.1?report=genbank&log$=prottop&blast_rank=21&RID=32794RAH013"",""XP_015595719.1"")"
f3.2 [Tranosema rostrale ichnovirus],Tranosema rostrale ichnovirus,223,223,5%,3e-61,48.61,237,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/BAF45626.1?report=genbank&log$=prottop&blast_rank=22&RID=32794RAH013"",""BAF45626.1"")"
putative methyltransferase NSUN6 isoform X1 [Cephus cinctus],Cephus cinctus,232,386,12%,4e-61,45.77,499,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_024941095.1?report=genbank&log$=prottop&blast_rank=23&RID=32794RAH013"",""XP_024941095.1"")"
pre-rRNA-processing protein TSR1 homolog isoform X1 [Venturia canescens],Venturia canescens,240,240,8%,5e-61,45.89,806,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_043282595.1?report=genbank&log$=prottop&blast_rank=24&RID=32794RAH013"",""XP_043282595.1"")"
putative methyltransferase NSUN6 isoform X4 [Cephus cinctus],Cephus cinctus,231,412,12%,5e-61,45.77,461,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_024941098.1?report=genbank&log$=prottop&blast_rank=25&RID=32794RAH013"",""XP_024941098.1"")"
Putative methyltransferase NSUN6 [Trachymyrmex zeteki],Trachymyrmex zeteki,229,336,10%,9e-61,44.86,438,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/KYQ50726.1?report=genbank&log$=prottop&blast_rank=26&RID=32794RAH013"",""KYQ50726.1"")"
PREDICTED: putative methyltransferase NSUN6 [Fopius arisanus],Fopius arisanus,228,412,13%,5e-60,43.79,463,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_011307309.1?report=genbank&log$=prottop&blast_rank=27&RID=32794RAH013"",""XP_011307309.1"")"
tRNA (cytosine(72)-C(5))-methyltransferase NSUN6 [Microplitis demolitor],Microplitis demolitor,227,415,13%,8e-60,47.18,442,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_008559440.2?report=genbank&log$=prottop&blast_rank=28&RID=32794RAH013"",""XP_008559440.2"")"
tRNA (cytosine(72)-C(5))-methyltransferase NSUN6 isoform X1 [Phymastichus coffea],Phymastichus coffea,227,419,12%,9e-60,47.64,460,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_058805329.1?report=genbank&log$=prottop&blast_rank=29&RID=32794RAH013"",""XP_058805329.1"")"
distal membrane-arm assembly complex protein 2 [Belonocnema kinseyi],Belonocnema kinseyi,219,219,6%,5e-59,46.31,293,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_033212641.1?report=genbank&log$=prottop&blast_rank=30&RID=32794RAH013"",""XP_033212641.1"")"
PREDICTED: putative methyltransferase NSUN6 [Trachymyrmex zeteki],Trachymyrmex zeteki,225,427,13%,5e-59,45.88,472,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_018310139.1?report=genbank&log$=prottop&blast_rank=31&RID=32794RAH013"",""XP_018310139.1"")"
distal membrane-arm assembly complex protein 2 [Orussus abietinus],Orussus abietinus,219,219,7%,1e-58,42.12,335,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_012280170.1?report=genbank&log$=prottop&blast_rank=32&RID=32794RAH013"",""XP_012280170.1"")"
hypothetical protein M0802_002770 [Mischocyttarus mexicanus],Mischocyttarus mexicanus,223,402,13%,1e-58,45.58,445,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/KAI4502088.1?report=genbank&log$=prottop&blast_rank=33&RID=32794RAH013"",""KAI4502088.1"")"
tRNA (cytosine(72)-C(5))-methyltransferase NSUN6 isoform X2 [Diprion similis],Diprion similis,225,432,12%,2e-58,46.59,520,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_046744640.1?report=genbank&log$=prottop&blast_rank=34&RID=32794RAH013"",""XP_046744640.1"")"
tRNA (cytosine(72)-C(5))-methyltransferase NSUN6 isoform X1 [Diprion similis],Diprion similis,225,429,12%,2e-58,46.59,526,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_046744639.1?report=genbank&log$=prottop&blast_rank=35&RID=32794RAH013"",""XP_046744639.1"")"
tRNA (cytosine(72)-C(5))-methyltransferase NSUN6 [Leptopilina heterotoma],Leptopilina heterotoma,223,431,13%,3e-58,46.04,470,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_043471183.1?report=genbank&log$=prottop&blast_rank=36&RID=32794RAH013"",""XP_043471183.1"")"
tRNA (cytosine(72)-C(5))-methyltransferase NSUN6 isoform X2 [Phymastichus coffea],Phymastichus coffea,220,388,8%,3e-58,64.74,374,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_058805330.1?report=genbank&log$=prottop&blast_rank=37&RID=32794RAH013"",""XP_058805330.1"")"
putative methyltransferase NSUN6 [Copidosoma floridanum],Copidosoma floridanum,223,418,12%,3e-58,46.35,464,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_014203469.1?report=genbank&log$=prottop&blast_rank=38&RID=32794RAH013"",""XP_014203469.1"")"
Putative methyltransferase NSUN6 [Harpegnathos saltator],Harpegnathos saltator,221,405,12%,5e-58,44.98,442,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/EFN79318.1?report=genbank&log$=prottop&blast_rank=39&RID=32794RAH013"",""EFN79318.1"")"
NOP2 methyltransferase [Acromyrmex insinuator],Acromyrmex insinuator,223,422,12%,6e-58,45.20,488,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/KAG5306756.1?report=genbank&log$=prottop&blast_rank=40&RID=32794RAH013"",""KAG5306756.1"")"
LOW QUALITY PROTEIN: tRNA (cytosine(72)-C(5))-methyltransferase NSUN6 [Belonocnema kinseyi],Belonocnema kinseyi,222,419,13%,9e-58,44.01,475,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_033225573.1?report=genbank&log$=prottop&blast_rank=41&RID=32794RAH013"",""XP_033225573.1"")"
putative methyltransferase NSUN6 [Harpegnathos saltator],Harpegnathos saltator,221,405,12%,1e-57,44.98,464,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_019699055.1?report=genbank&log$=prottop&blast_rank=42&RID=32794RAH013"",""XP_019699055.1"")"
PREDICTED: putative methyltransferase NSUN6 [Acromyrmex echinatior],Acromyrmex echinatior,221,420,12%,1e-57,45.16,461,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_011065653.1?report=genbank&log$=prottop&blast_rank=43&RID=32794RAH013"",""XP_011065653.1"")"
PREDICTED: putative methyltransferase NSUN6 isoform X2 [Vollenhovia emeryi],Vollenhovia emeryi,218,316,10%,1e-57,44.64,386,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_011867785.1?report=genbank&log$=prottop&blast_rank=44&RID=32794RAH013"",""XP_011867785.1"")"
putative methyltransferase NSUN6 isoform X3 [Temnothorax curvispinosus],Temnothorax curvispinosus,219,408,12%,1e-57,45.04,411,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_024887956.1?report=genbank&log$=prottop&blast_rank=45&RID=32794RAH013"",""XP_024887956.1"")"
distal membrane-arm assembly complex protein 2 [Monomorium pharaonis],Monomorium pharaonis,214,214,6%,2e-57,42.37,273,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_012523122.1?report=genbank&log$=prottop&blast_rank=46&RID=32794RAH013"",""XP_012523122.1"")"
PREDICTED: putative methyltransferase NSUN6 isoform X1 [Atta colombica],Atta colombica,220,417,12%,2e-57,45.16,458,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_018056753.1?report=genbank&log$=prottop&blast_rank=47&RID=32794RAH013"",""XP_018056753.1"")"
putative methyltransferase NSUN6 isoform X2 [Temnothorax curvispinosus],Temnothorax curvispinosus,219,400,12%,2e-57,45.04,430,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_024887955.1?report=genbank&log$=prottop&blast_rank=48&RID=32794RAH013"",""XP_024887955.1"")"
PREDICTED: putative methyltransferase NSUN6 [Trachymyrmex septentrionalis],Trachymyrmex septentrionalis,220,413,12%,3e-57,45.52,456,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_018354570.1?report=genbank&log$=prottop&blast_rank=49&RID=32794RAH013"",""XP_018354570.1"")"
putative methyltransferase NSUN6 isoform X2 [Pogonomyrmex barbatus],Pogonomyrmex barbatus,219,391,12%,3e-57,45.61,445,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_011633331.1?report=genbank&log$=prottop&blast_rank=50&RID=32794RAH013"",""XP_011633331.1"")"
PREDICTED: putative methyltransferase NSUN6 [Cyphomyrmex costatus],Cyphomyrmex costatus,220,426,12%,3e-57,45.52,462,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_018405200.1?report=genbank&log$=prottop&blast_rank=51&RID=32794RAH013"",""XP_018405200.1"")"
Putative methyltransferase NSUN6 [Trachymyrmex septentrionalis],Trachymyrmex septentrionalis,221,408,12%,3e-57,45.52,484,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/KYN31119.1?report=genbank&log$=prottop&blast_rank=52&RID=32794RAH013"",""KYN31119.1"")"
NOP2 methyltransferase [Acromyrmex charruanus],Acromyrmex charruanus,220,420,12%,3e-57,45.55,485,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/KAG5344080.1?report=genbank&log$=prottop&blast_rank=53&RID=32794RAH013"",""KAG5344080.1"")"
Putative methyltransferase NSUN6 [Atta colombica],Atta colombica,221,404,12%,3e-57,45.16,493,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/KYM76407.1?report=genbank&log$=prottop&blast_rank=54&RID=32794RAH013"",""KYM76407.1"")"
NOP2 methyltransferase [Acromyrmex heyeri],Acromyrmex heyeri,220,419,12%,4e-57,45.55,485,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/KAG5336084.1?report=genbank&log$=prottop&blast_rank=55&RID=32794RAH013"",""KAG5336084.1"")"
putative methyltransferase NSUN6 isoform X1 [Temnothorax curvispinosus],Temnothorax curvispinosus,219,423,12%,5e-57,45.04,465,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_024887952.1?report=genbank&log$=prottop&blast_rank=56&RID=32794RAH013"",""XP_024887952.1"")"
tRNA (cytosine(72)-C(5))-methyltransferase NSUN6 isoform X6 [Solenopsis invicta],Solenopsis invicta,220,412,12%,7e-57,44.09,491,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_025996676.1?report=genbank&log$=prottop&blast_rank=57&RID=32794RAH013"",""XP_025996676.1"")"
putative methyltransferase NSUN6 isoform X1 [Pogonomyrmex barbatus],Pogonomyrmex barbatus,219,416,12%,8e-57,45.61,462,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_011633330.1?report=genbank&log$=prottop&blast_rank=58&RID=32794RAH013"",""XP_011633330.1"")"
tRNA (cytosine(72)-C(5))-methyltransferase NSUN6 isoform X5 [Monomorium pharaonis],Monomorium pharaonis,217,394,12%,9e-57,44.09,408,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_028045538.1?report=genbank&log$=prottop&blast_rank=59&RID=32794RAH013"",""XP_028045538.1"")"
tRNA (cytosine(72)-C(5))-methyltransferase NSUN6 [Neodiprion fabricii],Neodiprion fabricii,218,412,13%,2e-56,44.96,463,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_046429136.1?report=genbank&log$=prottop&blast_rank=60&RID=32794RAH013"",""XP_046429136.1"")"
tRNA (cytosine(72)-C(5))-methyltransferase NSUN6 isoform X7 [Solenopsis invicta],Solenopsis invicta,219,411,12%,2e-56,43.51,491,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_025996681.1?report=genbank&log$=prottop&blast_rank=61&RID=32794RAH013"",""XP_025996681.1"")"
putative methyltransferase NSUN6 [Ooceraea biroi],Ooceraea biroi,217,406,12%,2e-56,44.88,455,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_011333000.1?report=genbank&log$=prottop&blast_rank=62&RID=32794RAH013"",""XP_011333000.1"")"
tRNA (cytosine(72)-C(5))-methyltransferase NSUN6 isoform X2 [Polistes fuscatus],Polistes fuscatus,217,438,13%,2e-56,44.40,461,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_043489421.1?report=genbank&log$=prottop&blast_rank=63&RID=32794RAH013"",""XP_043489421.1"")"
