Description,Scientific Name,Max Score,Total Score,Query Cover,E value,Per. ident,Acc. Len,Accession  
Cys4 [Hyposoter didymator ichnovirus],Hyposoter didymator ichnovirus,450,948,12%,3e-140,89.39,241,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/AIK25730.1?report=genbank&log$=prottop&blast_rank=1&RID=326XF89Z016"",""AIK25730.1"")"
"NADH dehydrogenase [ubiquinone] flavoprotein 1, mitochondrial [Venturia canescens]",Venturia canescens,436,436,4%,6e-132,99.05,473,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_043287395.1?report=genbank&log$=prottop&blast_rank=2&RID=326XF89Z016"",""XP_043287395.1"")"
"NADH dehydrogenase [ubiquinone] flavoprotein 1, mitochondrial [Vespa velutina]",Vespa velutina,429,429,4%,1e-129,96.19,469,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_047361744.1?report=genbank&log$=prottop&blast_rank=3&RID=326XF89Z016"",""XP_047361744.1"")"
"NADH dehydrogenase [ubiquinone] flavoprotein 1, mitochondrial-like [Vespa mandarinia]",Vespa mandarinia,429,429,4%,2e-129,96.19,469,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_035739846.1?report=genbank&log$=prottop&blast_rank=4&RID=326XF89Z016"",""XP_035739846.1"")"
"NADH dehydrogenase [ubiquinone] flavoprotein 1, mitochondrial [Vespa crabro]",Vespa crabro,429,429,4%,2e-129,96.19,469,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_046830556.1?report=genbank&log$=prottop&blast_rank=5&RID=326XF89Z016"",""XP_046830556.1"")"
"NADH dehydrogenase [ubiquinone] flavoprotein 1, mitochondrial [Polistes fuscatus]",Polistes fuscatus,428,428,4%,5e-129,95.24,472,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_043504189.1?report=genbank&log$=prottop&blast_rank=6&RID=326XF89Z016"",""XP_043504189.1"")"
mitochondrial NADH dehydrogenase flavoprotein 1 [Nasonia vitripennis],Nasonia vitripennis,417,417,4%,6e-129,93.30,223,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/UWJ92009.1?report=genbank&log$=prottop&blast_rank=7&RID=326XF89Z016"",""UWJ92009.1"")"
"NADH dehydrogenase [ubiquinone] flavoprotein 1, mitochondrial [Cephus cinctus]",Cephus cinctus,427,427,4%,6e-129,96.19,469,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_015592367.1?report=genbank&log$=prottop&blast_rank=8&RID=326XF89Z016"",""XP_015592367.1"")"
"PREDICTED: NADH dehydrogenase [ubiquinone] flavoprotein 1, mitochondrial [Polistes canadensis]",Polistes canadensis,427,427,4%,1e-128,95.24,471,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_014602776.1?report=genbank&log$=prottop&blast_rank=9&RID=326XF89Z016"",""XP_014602776.1"")"
"NADH dehydrogenase [ubiquinone] flavoprotein 1, mitochondrial-like [Belonocnema kinseyi]",Belonocnema kinseyi,427,427,4%,1e-128,95.71,469,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_033207820.1?report=genbank&log$=prottop&blast_rank=10&RID=326XF89Z016"",""XP_033207820.1"")"
mitochondrial NADH dehydrogenase flavoprotein 1 [Nasonia vitripennis],Nasonia vitripennis,416,416,4%,1e-128,93.30,223,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/UWJ91988.1?report=genbank&log$=prottop&blast_rank=11&RID=326XF89Z016"",""UWJ91988.1"")"
"NADH dehydrogenase [ubiquinone] flavoprotein 1, mitochondrial [Leptopilina boulardi]",Leptopilina boulardi,426,426,4%,2e-128,95.71,469,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_051157768.1?report=genbank&log$=prottop&blast_rank=12&RID=326XF89Z016"",""XP_051157768.1"")"
"PREDICTED: NADH dehydrogenase [ubiquinone] flavoprotein 1, mitochondrial [Polistes dominula]",Polistes dominula,426,426,4%,2e-128,94.76,472,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_015182779.1?report=genbank&log$=prottop&blast_rank=13&RID=326XF89Z016"",""XP_015182779.1"")"
hypothetical protein M0802_002011 [Mischocyttarus mexicanus],Mischocyttarus mexicanus,426,426,4%,3e-128,95.24,471,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/KAI4502967.1?report=genbank&log$=prottop&blast_rank=14&RID=326XF89Z016"",""KAI4502967.1"")"
"NADH dehydrogenase [ubiquinone] flavoprotein 1, mitochondrial [Nomia melanderi]",Nomia melanderi,425,425,4%,5e-128,94.76,471,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_031849797.1?report=genbank&log$=prottop&blast_rank=15&RID=326XF89Z016"",""XP_031849797.1"")"
hypothetical protein KM043_009127 [Ampulex compressa],Ampulex compressa,423,423,4%,7e-128,94.76,438,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/KAG7207495.1?report=genbank&log$=prottop&blast_rank=16&RID=326XF89Z016"",""KAG7207495.1"")"
"NADH dehydrogenase [ubiquinone] flavoprotein 1, mitochondrial [Hylaeus volcanicus]",Hylaeus volcanicus,424,424,4%,7e-128,94.76,469,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_053983000.1?report=genbank&log$=prottop&blast_rank=17&RID=326XF89Z016"",""XP_053983000.1"")"
