Description,Scientific Name,Max Score,Total Score,Query Cover,E value,Per. ident,Acc. Len,Accession  
Vinx1 [Hyposoter didymator ichnovirus],Hyposoter didymator ichnovirus,707,1143,17%,0.0,96.02,377,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/AIK25625.1?report=genbank&log$=prottop&blast_rank=1&RID=326DX7EE013"",""AIK25625.1"")"
viral innexin [Hyposoter didymator ichnovirus],Hyposoter didymator ichnovirus,698,1109,16%,0.0,92.29,363,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/AAO16963.1?report=genbank&log$=prottop&blast_rank=2&RID=326DX7EE013"",""AAO16963.1"")"
viral innexin-b10.1 [Ichnoviriform fugitivi],Ichnoviriform fugitivi,508,913,16%,1e-158,67.77,362,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/YP_001031255.1?report=genbank&log$=prottop&blast_rank=3&RID=326DX7EE013"",""YP_001031255.1"")"
viral innexin-b5.1 [Ichnoviriform fugitivi],Ichnoviriform fugitivi,448,870,15%,9e-138,68.09,354,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/YP_001031253.1?report=genbank&log$=prottop&blast_rank=4&RID=326DX7EE013"",""YP_001031253.1"")"
viral innexin 1 [Diadegma fenestrale ichnovirus],Diadegma fenestrale ichnovirus,369,722,16%,4e-110,57.51,352,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/ULM71613.1?report=genbank&log$=prottop&blast_rank=5&RID=326DX7EE013"",""ULM71613.1"")"
viral innexin 2 [Diadegma semiclausum ichnovirus],Diadegma semiclausum ichnovirus,363,726,15%,2e-108,57.36,337,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/AHY21956.1?report=genbank&log$=prottop&blast_rank=6&RID=326DX7EE013"",""AHY21956.1"")"
E3 ubiquitin-protein ligase TRIM23-like isoform X1 [Venturia canescens],Venturia canescens,349,1068,12%,1e-100,93.75,558,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_043276789.1?report=genbank&log$=prottop&blast_rank=7&RID=326DX7EE013"",""XP_043276789.1"")"
hypothetical protein G9C98_000381 [Cotesia typhae],Cotesia typhae,308,917,12%,2e-86,77.34,557,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/KAG8039652.1?report=genbank&log$=prottop&blast_rank=8&RID=326DX7EE013"",""KAG8039652.1"")"
GSCOCG00008808001-RA-CDS [Cotesia congregata],Cotesia congregata,307,895,12%,3e-86,77.34,545,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/CAD6240480.1?report=genbank&log$=prottop&blast_rank=9&RID=326DX7EE013"",""CAD6240480.1"")"
E3 ubiquitin-protein ligase TRIM23-like [Cotesia glomerata],Cotesia glomerata,307,922,12%,3e-86,77.34,557,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_044597938.1?report=genbank&log$=prottop&blast_rank=10&RID=326DX7EE013"",""XP_044597938.1"")"
Similar to TRIM23: E3 ubiquitin-protein ligase TRIM23 (Homo sapiens) [Cotesia congregata],Cotesia congregata,307,922,12%,4e-86,80.73,557,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/CAG5104440.1?report=genbank&log$=prottop&blast_rank=11&RID=326DX7EE013"",""CAG5104440.1"")"
E3 ubiquitin-protein ligase TRIM23 isoform X2 [Cephus cinctus],Cephus cinctus,306,925,12%,8e-86,77.66,536,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_024946905.1?report=genbank&log$=prottop&blast_rank=12&RID=326DX7EE013"",""XP_024946905.1"")"
E3 ubiquitin-protein ligase TRIM23 isoform X1 [Cephus cinctus],Cephus cinctus,306,925,12%,1e-85,77.66,557,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_015607909.1?report=genbank&log$=prottop&blast_rank=13&RID=326DX7EE013"",""XP_015607909.1"")"
E3 ubiquitin-protein ligase TRIM23 [Microplitis demolitor],Microplitis demolitor,302,912,12%,3e-84,77.78,558,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_008559930.1?report=genbank&log$=prottop&blast_rank=14&RID=326DX7EE013"",""XP_008559930.1"")"
E3 ubiquitin-protein ligase TRIM23-like isoform X1 [Microplitis mediator],Microplitis mediator,302,912,12%,3e-84,77.78,564,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_057342110.1?report=genbank&log$=prottop&blast_rank=15&RID=326DX7EE013"",""XP_057342110.1"")"
E3 ubiquitin-protein ligase TRIM23-like isoform X2 [Microplitis mediator],Microplitis mediator,302,912,12%,3e-84,81.28,557,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_057342111.1?report=genbank&log$=prottop&blast_rank=16&RID=326DX7EE013"",""XP_057342111.1"")"
hypothetical protein KPH14_005317 [Odynerus spinipes],Odynerus spinipes,301,949,12%,4e-84,74.75,558,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/KAK2576655.1?report=genbank&log$=prottop&blast_rank=17&RID=326DX7EE013"",""KAK2576655.1"")"
E3 ubiquitin-protein ligase TRIM23-like [Orussus abietinus],Orussus abietinus,301,932,12%,7e-84,73.53,557,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_012271063.1?report=genbank&log$=prottop&blast_rank=18&RID=326DX7EE013"",""XP_012271063.1"")"
E3 ubiquitin-protein ligase TRIM23-like [Chelonus insularis],Chelonus insularis,300,905,12%,9e-84,75.76,558,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_034952566.1?report=genbank&log$=prottop&blast_rank=19&RID=326DX7EE013"",""XP_034952566.1"")"
E3 ubiquitin-protein ligase TRIM23 [Temnothorax longispinosus],Temnothorax longispinosus,298,890,12%,4e-83,79.37,558,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/TGZ37579.1?report=genbank&log$=prottop&blast_rank=20&RID=326DX7EE013"",""TGZ37579.1"")"
E3 ubiquitin-protein ligase TRIM23-like isoform X1 [Temnothorax curvispinosus],Temnothorax curvispinosus,298,890,12%,4e-83,79.37,558,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_024875775.1?report=genbank&log$=prottop&blast_rank=21&RID=326DX7EE013"",""XP_024875775.1"")"
E3 ubiquitin-protein ligase TRIM23-like [Formica exsecta],Formica exsecta,291,585,9%,9e-83,78.07,373,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_029678899.1?report=genbank&log$=prottop&blast_rank=22&RID=326DX7EE013"",""XP_029678899.1"")"
PREDICTED: E3 ubiquitin-protein ligase TRIM23-like [Wasmannia auropunctata],Wasmannia auropunctata,296,884,12%,2e-82,78.31,547,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_011684777.1?report=genbank&log$=prottop&blast_rank=23&RID=326DX7EE013"",""XP_011684777.1"")"
