Description,Scientific Name,Max Score,Total Score,Query Cover,E value,Per. ident,Acc. Len,Accession  
1-acyl-sn-glycerol-3-phosphate acyltransferase gamma-like [Venturia canescens],Venturia canescens,197,584,7%,3e-83,95.58,387,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_043278505.1?report=genbank&log$=prottop&blast_rank=1&RID=326ZAGGU016"",""XP_043278505.1"")"
hypothetical protein KM043_008647 [Ampulex compressa],Ampulex compressa,168,437,6%,1e-70,77.88,418,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/KAG7189066.1?report=genbank&log$=prottop&blast_rank=2&RID=326ZAGGU016"",""KAG7189066.1"")"
1-acyl-sn-glycerol-3-phosphate acyltransferase gamma-like [Chelonus insularis],Chelonus insularis,170,419,5%,4e-70,79.65,387,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_034939015.1?report=genbank&log$=prottop&blast_rank=3&RID=326ZAGGU016"",""XP_034939015.1"")"
1-acyl-sn-glycerol-3-phosphate acyltransferase gamma isoform X1 [Neodiprion lecontei],Neodiprion lecontei,170,417,6%,1e-69,80.53,387,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_015513611.1?report=genbank&log$=prottop&blast_rank=4&RID=326ZAGGU016"",""XP_015513611.1"")"
1-acyl-sn-glycerol-3-phosphate acyltransferase delta-like isoform X2 [Neodiprion fabricii],Neodiprion fabricii,169,417,6%,1e-69,80.53,323,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_046414641.1?report=genbank&log$=prottop&blast_rank=5&RID=326ZAGGU016"",""XP_046414641.1"")"
1-acyl-sn-glycerol-3-phosphate acyltransferase gamma-like isoform X1 [Diprion similis],Diprion similis,171,414,6%,8e-69,79.65,387,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_046751352.1?report=genbank&log$=prottop&blast_rank=6&RID=326ZAGGU016"",""XP_046751352.1"")"
1-acyl-sn-glycerol-3-phosphate acyltransferase delta-like isoform X2 [Diprion similis],Diprion similis,170,413,6%,1e-68,79.65,323,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_046751424.1?report=genbank&log$=prottop&blast_rank=7&RID=326ZAGGU016"",""XP_046751424.1"")"
hypothetical protein KPH14_007326 [Odynerus spinipes],Odynerus spinipes,169,401,6%,2e-68,79.65,387,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/KAK2575965.1?report=genbank&log$=prottop&blast_rank=8&RID=326ZAGGU016"",""KAK2575965.1"")"
1-acyl-sn-glycerol-3-phosphate acyltransferase gamma [Nasonia vitripennis],Nasonia vitripennis,167,462,6%,2e-68,81.42,387,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_008214894.1?report=genbank&log$=prottop&blast_rank=9&RID=326ZAGGU016"",""XP_008214894.1"")"
hypothetical protein TSAR_010130 [Trichomalopsis sarcophagae],Trichomalopsis sarcophagae,167,407,6%,5e-68,81.42,387,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/OXU24116.1?report=genbank&log$=prottop&blast_rank=10&RID=326ZAGGU016"",""OXU24116.1"")"
1-acyl-sn-glycerol-3-phosphate acyltransferase gamma-like [Athalia rosae],Athalia rosae,167,462,7%,2e-67,77.88,387,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_012269513.1?report=genbank&log$=prottop&blast_rank=11&RID=326ZAGGU016"",""XP_012269513.1"")"
1-acyl-sn-glycerol-3-phosphate acyltransferase gamma-like [Odontomachus brunneus],Odontomachus brunneus,161,482,7%,3e-67,73.45,387,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_032662990.1?report=genbank&log$=prottop&blast_rank=12&RID=326ZAGGU016"",""XP_032662990.1"")"
1-acyl-sn-glycerol-3-phosphate acyltransferase gamma [Cephus cinctus],Cephus cinctus,161,427,6%,3e-67,76.11,388,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_015604950.1?report=genbank&log$=prottop&blast_rank=13&RID=326ZAGGU016"",""XP_015604950.1"")"
PREDICTED: 1-acyl-sn-glycerol-3-phosphate acyltransferase gamma-like [Dinoponera quadriceps],Dinoponera quadriceps,160,456,7%,3e-67,74.34,387,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_014467888.1?report=genbank&log$=prottop&blast_rank=14&RID=326ZAGGU016"",""XP_014467888.1"")"
1-acyl-sn-glycerol-3-phosphate acyltransferase gamma [Harpegnathos saltator],Harpegnathos saltator,160,480,7%,4e-67,75.22,387,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_011143319.1?report=genbank&log$=prottop&blast_rank=15&RID=326ZAGGU016"",""XP_011143319.1"")"
GSCOCG00005619001-RA-CDS [Cotesia congregata],Cotesia congregata,160,406,6%,4e-67,75.22,387,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/CAD6225320.1?report=genbank&log$=prottop&blast_rank=16&RID=326ZAGGU016"",""CAD6225320.1"")"
