Description,Scientific Name,Max Score,Total Score,Query Cover,E value,Per. ident,Acc. Len,Accession  
F5U2 [Hyposoter didymator ichnovirus],Hyposoter didymator ichnovirus,254,571,7%,1e-73,98.39,124,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/AIK25634.1?report=genbank&log$=prottop&blast_rank=1&RID=3270DA7E013"",""AIK25634.1"")"
F5U2 [Hyposoter didymator ichnovirus],Hyposoter didymator ichnovirus,163,325,4%,7e-42,81.05,126,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/AIK25640.1?report=genbank&log$=prottop&blast_rank=2&RID=3270DA7E013"",""AIK25640.1"")"
U1 [Hyposoter didymator ichnovirus],Hyposoter didymator ichnovirus,100,163,4%,6e-20,49.58,116,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/AIK25658.1?report=genbank&log$=prottop&blast_rank=3&RID=3270DA7E013"",""AIK25658.1"")"
hypothetical protein [Diadegma semiclausum ichnovirus],Diadegma semiclausum ichnovirus,72.0,190,4%,3e-09,51.69,179,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/ULM71711.1?report=genbank&log$=prottop&blast_rank=4&RID=3270DA7E013"",""ULM71711.1"")"
hypothetical protein 7 [Diadegma semiclausum ichnovirus],Diadegma semiclausum ichnovirus,54.7,108,3%,4e-04,57.69,93,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/AHY21953.1?report=genbank&log$=prottop&blast_rank=5&RID=3270DA7E013"",""AHY21953.1"")"



		


