Description,Scientific Name,Max Score,Total Score,Query Cover,E value,Per. ident,Acc. Len,Accession  
Rep1 [Hyposoter didymator ichnovirus],Hyposoter didymator ichnovirus,494,494,5%,6e-156,99.57,235,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/AIK25632.1?report=genbank&log$=prottop&blast_rank=1&RID=327840D6013"",""AIK25632.1"")"
probable ATP-dependent RNA helicase DDX56 [Venturia canescens],Venturia canescens,422,878,13%,1e-125,82.73,556,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_043287993.1?report=genbank&log$=prottop&blast_rank=2&RID=327840D6013"",""XP_043287993.1"")"
probable ATP-dependent RNA helicase DDX56 [Hylaeus anthracinus],Hylaeus anthracinus,382,808,13%,6e-112,76.56,549,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_054012749.1?report=genbank&log$=prottop&blast_rank=3&RID=327840D6013"",""XP_054012749.1"")"
probable ATP-dependent RNA helicase DDX56 [Hylaeus volcanicus],Hylaeus volcanicus,381,807,13%,1e-111,76.56,549,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_053978032.1?report=genbank&log$=prottop&blast_rank=4&RID=327840D6013"",""XP_053978032.1"")"
hypothetical protein PV326_013911 [Microctonus aethiopoides],Microctonus aethiopoides,343,782,13%,7e-99,70.45,533,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/KAK0093277.1?report=genbank&log$=prottop&blast_rank=5&RID=327840D6013"",""KAK0093277.1"")"
hypothetical protein PV325_011478 [Microctonus aethiopoides],Microctonus aethiopoides,360,798,13%,1e-104,70.80,542,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/KAK0081842.1?report=genbank&log$=prottop&blast_rank=6&RID=327840D6013"",""KAK0081842.1"")"
probable ATP-dependent RNA helicase DDX56 [Chelonus insularis],Chelonus insularis,374,811,13%,4e-109,72.53,554,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_034940579.1?report=genbank&log$=prottop&blast_rank=7&RID=327840D6013"",""XP_034940579.1"")"
probable ATP-dependent RNA helicase DDX56 [Cephus cinctus],Cephus cinctus,377,814,13%,2e-110,73.99,550,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_015597691.1?report=genbank&log$=prottop&blast_rank=8&RID=327840D6013"",""XP_015597691.1"")"
hypothetical protein PV327_002505 [Microctonus hyperodae],Microctonus hyperodae,363,798,13%,2e-105,71.17,542,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/KAK0168734.1?report=genbank&log$=prottop&blast_rank=9&RID=327840D6013"",""KAK0168734.1"")"
PREDICTED: probable ATP-dependent RNA helicase DDX56 [Megachile rotundata],Megachile rotundata,354,788,13%,2e-102,70.70,547,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_003706720.1?report=genbank&log$=prottop&blast_rank=10&RID=327840D6013"",""XP_003706720.1"")"
